What is the general definition of customer churn in the telecommunications industry?,"The phenomenon where customers discontinue their services with a provider, either by canceling contracts or not renewing plans."
How does voluntary churn differ from involuntary churn?,"Voluntary churn is customer-initiated due to dissatisfaction or better offers, while involuntary churn is provider-initiated due to non-payment or fraud."
"According to the source material, the cost of acquiring a new customer is _____ times higher than retaining an existing one.",Five to ten
Name the four major telecommunications players in the Nigerian market mentioned in the study.,"MTN Nigeria, Airtel Nigeria, Globacom, and 9mobile."
What was the total number of active mobile subscriptions in Nigeria by the year 2023?,Over 200 million.
How does customer churn affect a company's operational efficiency?,It forces companies to constantly adapt strategies and divert resources to address churn reasons instead of strategic initiatives.
"In the context of Nigerian telecommunications, what specific service by MTN has significantly enhanced financial inclusion?",MoMo (Mobile Money).
Which factor is identified as the highest influence on a customer's likelihood to switch providers in this study?,Cost (at 75% influence).
Identify the primary reason cited by 69.3% of respondents for considering switching providers.,Poor service quality.
What is the primary objective of using 'Predictive Analytics' in churn management?,To use historical data and statistical modeling to forecast future customer behavior and identify at-risk users.
Which machine learning model achieved the highest accuracy and recall (0.65) in the study's results?,Support Vector Machine (SVM).
Explain the concept of 'Personalized Services' as a retention strategy.,Using data analytics to offer tailored recommendations and plans based on specific customer preferences and behavior.
What specific retention program is used by MTN Nigeria to reward long-term engagement?,"""Y'ello Rewards"" program."
What is the main limitation of the 'Accuracy' metric in churn prediction with imbalanced datasets?,It can be misleading because the number of non-churning customers often far exceeds the number of churners.
Formula: Write the equation for 'Precision' in model evaluation.,$Precision = \frac{TP}{TP + FP}$
Formula: Write the equation for 'Recall' in model evaluation.,$Recall = \frac{TP}{TP + FN}$
What does the 'F1-Score' represent in the context of machine learning evaluation?,"The harmonic mean of precision and recall, providing a balanced measure for imbalanced datasets."
How does 'Survival Analysis' differ from 'Logistic Regression' in churn prediction?,"Survival Analysis models the time until a churn event occurs, whereas Logistic Regression predicts the probability of churn at a specific point."
The assumption that there is a linear relationship between independent variables and the log odds of the outcome is a limitation of which model?,Logistic Regression.
What is 'Multicollinearity' and why is it a problem for statistical models?,"It occurs when independent variables are highly correlated, making it difficult to determine the individual effect of each predictor."
Identify the four machine learning models compared in this research study.,"Decision Tree, Random Forest, Support Vector Machine (SVM), and Extreme Gradient Boosting (XGBoost)."
